,Title,Company,Ratings,Reviews,Experience,Salary,Location,Job_Post_History,URL
0,Associate Data Analyst,Urjanet Energy Solutions,3.8,(64 Reviews),0-3 Yrs,Not disclosed,Chennai,1 Day Ago,https://www.naukri.com/job-listings-associate-data-analyst-urjanet-energy-solutions-pvt-ltd-chennai-0-to-3-years-260422002767?src=jobsearchDesk&sid=16511217313367461&xp=1&px=1
1,Sr Domain Expert -Data Analysts,Siemens,4.2,(2780 Reviews),0-10 Yrs,Not disclosed,Bangalore/Bengaluru,9 Days Ago,https://www.naukri.com/job-listings-sr-domain-expert-data-analysts-siemens-limited-bangalore-bengaluru-0-to-10-years-180422500666?src=jobsearchDesk&sid=16511217313367461&xp=2&px=1
2,Financial Business Analyst / Data Analyst,Cotiviti,4.0,(179 Reviews),1-6 Yrs,Not disclosed,Pune,1 Day Ago,https://www.naukri.com/job-listings-financial-business-analyst-data-analyst-cotiviti-india-private-limited-pune-1-to-6-years-270422006032?src=jobsearchDesk&sid=16511217313367461&xp=3&px=1
3,Senior Data Analyst,LatentView,4.0,(58 Reviews),2-6 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru",5 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-latentview-analytics-private-limited-chennai-bangalore-bengaluru-2-to-6-years-220422007004?src=jobsearchDesk&sid=16511217313367461&xp=4&px=1
4,Senior Data Analyst II,Flipkart,4.2,(8802 Reviews),2-4 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-ii-flipkart-internet-private-limited-bangalore-bengaluru-2-to-4-years-270422902376?src=jobsearchDesk&sid=16511217313367461&xp=6&px=1
5,Senior Data Analyst II,Flipkart,4.2,(8802 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-ii-flipkart-internet-private-limited-bangalore-bengaluru-3-to-6-years-270422901213?src=jobsearchDesk&sid=16511217313367461&xp=7&px=1
6,Data Analyst II,Cerner,3.9,(618 Reviews),6-10 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-data-analyst-ii-cerner-corporation-bangalore-bengaluru-6-to-10-years-270422501741?src=jobsearchDesk&sid=16511217313367461&xp=8&px=1
7,Blockchain AML Data Analyst,PayPal,4.3,(262 Reviews),3-7 Yrs,Not disclosed,Chennai,1 Day Ago,https://www.naukri.com/job-listings-blockchain-aml-data-analyst-paypal-holdings-inc-chennai-3-to-7-years-260422500386?src=jobsearchDesk&sid=16511217313367461&xp=9&px=1
8,Senior Data Analyst - Logistics,Gojek,4.1,(12 Reviews),4-10 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-logistics-go-jek-engineering-bangalore-bengaluru-4-to-10-years-270422502233?src=jobsearchDesk&sid=16511217313367461&xp=10&px=1
9,Associate Data Analyst,Urjanet Energy Solutions,3.8,(64 Reviews),0-1 Yrs,Not disclosed,Chennai,8 Days Ago,https://www.naukri.com/job-listings-associate-data-analyst-urjanet-chennai-0-to-1-years-190422500682?src=jobsearchDesk&sid=16511217313367461&xp=12&px=1
10,Senior Data Analyst,Flipkart,4.2,(8802 Reviews),4-6 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-4-to-6-years-270422901375?src=jobsearchDesk&sid=16511217313367461&xp=13&px=1
11,Business Analyst / Data Analyst,DC Consultants,3.7,(5 Reviews),3-5 Yrs,Not disclosed,Pune,1 Day Ago,https://www.naukri.com/job-listings-business-analyst-data-analyst-dc-consultants-pune-3-to-5-years-270422500145?src=jobsearchDesk&sid=16511217313367461&xp=14&px=1
12,Consultant - Data Analyst,Flipkart,4.2,(8802 Reviews),1-3 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-consultant-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-1-to-3-years-270422901995?src=jobsearchDesk&sid=16511217313367461&xp=15&px=1
13,Data Analyst,Zetwerk Manufacturing Businesses,4.1,(93 Reviews),1-3 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-data-analyst-zetwerk-bangalore-bengaluru-1-to-3-years-270422502269?src=jobsearchDesk&sid=16511217313367461&xp=16&px=1
14,People Data Analyst,Walmart,4.2,(9932 Reviews),4-10 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-people-data-analyst-walmart-labs-bangalore-bengaluru-4-to-10-years-270422500379?src=jobsearchDesk&sid=16511217313367461&xp=17&px=1
15,Data Analyst,Pine Labs,4.1,(482 Reviews),4-8 Yrs,"10,00,000 - 15,00,000 PA.",Delhi / NCR,1 Day Ago,https://www.naukri.com/job-listings-data-analyst-pine-labs-pvt-ltd-delhi-ncr-4-to-8-years-270422004283?src=jobsearchDesk&sid=16511217313367461&xp=18&px=1
16,Hiring Freshers - Data Research Analyst - Managed Investment Data,Morningstar,4.4,(316 Reviews),0-2 Yrs,"3,00,000 - 4,75,000 PA.",Mumbai(Sector 30A Vashi),6 Days Ago,https://www.naukri.com/job-listings-hiring-freshers-data-research-analyst-managed-investment-data-morningstar-india-p-ltd-mumbai-0-to-2-years-210422009293?src=jobsearchDesk&sid=16511217313367461&xp=20&px=1
17,Associate Data Analyst,Urjanet Energy Solutions,3.8,(64 Reviews),0-3 Yrs,Not disclosed,Chennai,1 Day Ago,https://www.naukri.com/job-listings-associate-data-analyst-urjanet-energy-solutions-pvt-ltd-chennai-0-to-3-years-260422002767?src=jobsearchDesk&sid=16511217423618677&xp=1&px=1
18,Sr Domain Expert -Data Analysts,Siemens,4.2,(2780 Reviews),0-10 Yrs,Not disclosed,Bangalore/Bengaluru,9 Days Ago,https://www.naukri.com/job-listings-sr-domain-expert-data-analysts-siemens-limited-bangalore-bengaluru-0-to-10-years-180422500666?src=jobsearchDesk&sid=16511217423618677&xp=2&px=1
